,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
55,0x_LUNC,"I am use this BOT to make profit everyday, if you not familiar with flash loan DON'T USE THIS BOT👇👇👇","Ottawa, Ontario",65,9,43,0,JUST IN : #Bitcoin price continue down to $20000,['Bitcoin']
56,Fhiaku,Big Win come to Mama pleaseeeee,"Kota Palu, Sulawesi Tengah",2332,153,8802,80,"Win $2000 worth of clean mined $BTC!  🏆⛏️

Can you come up with a character that fits our game? Show us! 

Rules in thread 🧵
 
#contest #designcontest #artcontest #crypto #BTC #giveaway #cryptocurrency #gaming #game #playtoearn #p2e #bitcoin #cleanmining https://t.co/eG4dKEbaK1",[]
57,Han_btc,wα$ wα7αβ!+ πα ¢!$α ¢α#αβ¤π $btc $flux,Philippines,259,72,968,570,"$1.6B of Gold vs. $1.6B of Bitcoin

Which one do you think is the future? https://t.co/InJDbJ2IIZ",[]
58,Blaqthorr,Finance |Filmmaker🎬| 2A Advocate🧹| Content Creator 🎞|Political Commentary📡| Senior Director ✏|Engineer | Humility is a journey we must all take.,"Montana, USA",204,249,30566,0,Wooooah bitcoin thooo lol 😆 https://t.co/xOHyQHYF7Y,[]
59,CryptoBYND,"""Beyond Modern Monetary Theory"" 
#Bitcoin",,44,32,139,236,"The Fed wrote a post showing the price of eggs in USD and Bitcoin, comparing them over the last year, showing Bitcoin as more volatile and unpredictable.

Only problem was they forgot to zoom out

https://t.co/WrCyaI4NP6 https://t.co/rJVbedAs2z",[]
60,HaileyNatalie54,"𝙀𝙉𝙏𝙍𝙀𝙋𝙍𝙀𝙉𝙀𝙐𝙍 🎖𝙀𝙓𝙋𝙀𝙍𝙏 𝙏𝙍𝘼𝘿𝙀𝙍  💵𝘽𝙄𝙏𝘾𝙊𝙄𝙉,💯% 𝙋𝘼𝙔𝙊𝙐𝙏 📊𝙁𝙊𝙓𝙀𝙍 𝙏𝙍𝘼𝘿𝙀𝙍  🖥𝘽𝙄𝙉𝘼𝙍𝙔 𝙏𝙍𝘼𝘿𝙀 𝘼𝘾𝘾𝙊𝙐𝙉𝙏 𝙈𝘼","Crossville, TN",17,5,41,0,"Another payout received today 🙏💰, if at now my followers you still doubting how I make my profit, sorry! You’re missing a lot.. I never regret investing my bitcoin..DM NOW for sure and secured profitable platform link for your bitcoin investment, it’s 💯 risk free... . . https://t.co/DRFBZVTyAw",[]
61,BTCYN,"₿uy #bitcoin 🦢 https://t.co/ZqJz6t8XjO i’m your reply guy, retweeter & energy buyer of last resort. did you notice nyc spelled backwards in my handle?",NYC,1798,1237,107003,493,"JUST IN: The FED is now pricing goods in #BTC 

#Bitcoin is a unit of account 🚀 https://t.co/Mz8wuvRXh3","['BTC', 'Bitcoin']"
62,Penelop24184441,I’ve got 99 problems but crypto ain’t one.,,9,0,7,4,Bitcoin as a payment system has already failed. There are better ways of doing payments and gen pop doesn’t care about decentralisation. The best pitch for bitcoin is - store of value.,[]
63,cworldalerts,Crypto World Alerts | Portal de noticias de Criptomonedas #Bitcoin # Ethereum #Altcoins | Noticias de NFT @nftreviewmarket  | Partners @allmedgroup @beoruscorp,España,57,6398,7763,0,#NUEVA ALERT CRYPTO #cryptonews #noticiascriptomonedas #NoticiasCrypto este momento  Crypto World Alerts https://t.co/cJXVL1hIeQ Gracias a @BitcoinFNewsES @Charlotte_de_R @maykers #nft #bitcoin,"['NUEVA', 'cryptonews', 'noticiascriptomonedas', 'NoticiasCrypto', 'nft', 'bitcoin']"
64,berkanlenck,CEO of @bsneak1resell @shinecom_ @shinecryptoc |E-Commerce Company: @Shine. 🏠 Real estate| Instagram: Berkanlenck / Bsneak1 | #crypto #btc #NFT | write my book,Worldwide,62,3606,10109,1366,"Bitcoin Price On This Day - Jun 6, 2022
TODAY: $31,437
1 year ago: $35,862
2 years ago: $9,654
3 years ago: $7,822
4 years ago: $7,654
5 years ago: $2,863 https://t.co/nyxzSVtges",[]
65,Betak77,Anime is best,,1,0,2,0,"This zesty faucet from @_bitcoiner is making me tweet this to claim my free Lightning sats. ⚡

@boltcoiner unlock me 48d1b797-6b05-4e66-9432-e1b0cd3fbd4d

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/Ui0eeb7HGE","['Bitcoin', 'BTC', 'LN', 'LightningNetwork', 'boltcoiner']"
